job_id,job_title,company_name,time_posted,location,seniority_level,employment_type,job_function,industries,function,industry,city
4245908934,Associate Product Manager,Godrej Capital,2 days ago,"Mumbai, Maharashtra, India",Associate,Full-time,"Product Management, Engineering, and Finance",Strategic Management Services and Data Infrastructure and Analytics,Product,Strategic,Mumbai
4245297547,Assistant Manager,Flipkart,3 days ago,"Mumbai, Maharashtra, India",Not Applicable,Full-time,Other,"Manufacturing and Technology, Information and Internet",Other,Manufacturing,Mumbai
4245556532,SDE Intern,Upstox,3 days ago,"Mumbai, Maharashtra, India",Not Applicable,Internship,Engineering and Information Technology,Financial Services,Engineering,Financial,Mumbai
4243900490,Market Consultant,Google,2 days ago,"Gurugram, Haryana, India",Not Applicable,Full-time,"Business Development, Human Resources, and Consulting","Information Services and Technology, Information and Internet",Business,Information,Gurugram
4245054940,Area Sales Manger,Godrej Consumer Products Limited,3 days ago,"Chennai, Tamil Nadu, India",Mid-Senior level,Full-time,Sales,Personal Care Product Manufacturing and Consumer Services,Sales,Personal,Chennai
4246131629,Digital Marketing Specialist in Kala Amb,SHRI SHYAM ENTERPRISES,1 day ago,"Amb, Himachal Pradesh, India",Entry level,Full-time,"Marketing, Writing/Editing, and Management",Advertising Services and Media Production,Marketing,Advertising,Amb
4245500389,Senior Executive,Flipkart,3 days ago,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Business Development and Sales,"Manufacturing and Technology, Information and Internet",Business,Manufacturing,Bengaluru
4245909973,CUSTOMER SERVICE | 1 TO 5 YEARS | KOLKATA,Capgemini,2 days ago,Greater Kolkata Area,Entry level,Full-time,Other,IT Services and IT Consulting,Other,IT,Greater
4246639409,Staff-Process,GRASIM INDUSTRIES LIMITED ( ADITYA BIRLA GROUP),1 day ago,"Gujarat, India",Entry level,Full-time,Management and Manufacturing,Manufacturing,Management,Manufacturing,Gujarat
4245290161,Business Analyst,American Express,3 days ago,"Gurugram, Haryana, India",Mid-Senior level,Full-time,Other,Financial Services,Other,Financial,Gurugram
4245585141,Category Manager - Holidays,MakeMyTrip,3 days ago,"Gurugram, Haryana, India",Associate,Full-time,Other,Travel Arrangements,Other,Travel,Gurugram
4245933852,Sr. Customer Relationship Manager - Jalandhar,Aditya Birla Capital,2 days ago,"Punjab, India",Mid-Senior level,Full-time,Sales and Business Development,Financial Services,Sales,Financial,Punjab
4243964066,Goldsmith,Naukripay group,2 days ago,"Hyderabad, Telangana, India",Executive,Full-time,Production,Retail Luxury Goods and Jewelry,Production,Retail,Hyderabad
4245277538,Human Resource,Larsen & Toubro,3 days ago,"Barasat-I, West Bengal, India",Entry level,Full-time,Human Resources,Executive Offices,Human,Executive,Barasat-I
4245216148,Manager - Brand Innovation,KFC India,3 days ago,"Gurugram, Haryana, India",Mid-Senior level,Full-time,Finance,Food and Beverage Services and Restaurants,Finance,Food,Gurugram
4245857130,Brand Solutions (Sales)- Business News,Network18 Media & Investments Limited,2 days ago,"Mumbai, Maharashtra, India",Associate,Full-time,Sales and Business Development,"Broadcast Media Production and Distribution, Online Audio and Video Media, and Entertainment Providers",Sales,Broadcast,Mumbai
4245970407,EXECUTIVE N - PRODUCTION MYSURU,Asian Paints,2 days ago,"Mysore, Karnataka, India",Mid-Senior level,Full-time,Management and Manufacturing,Manufacturing,Management,Manufacturing,Mysore
4245936747,Senior Executive - Visa Operations,MakeMyTrip,2 days ago,"Gurugram, Haryana, India",Associate,Full-time,Other,Travel Arrangements,Other,Travel,Gurugram
4245279320,HR- Learning & Development,Larsen & Toubro,3 days ago,"Barasat-I, West Bengal, India",Entry level,Full-time,Human Resources,Executive Offices,Human,Executive,Barasat-I
4245295711,Senior Executive,Flipkart,3 days ago,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Business Development and Sales,"Manufacturing and Technology, Information and Internet",Business,Manufacturing,Bengaluru
4245502193,"Manager, Business Operations [Motor, OGI]",PhonePe,3 days ago,"Bengaluru, Karnataka, India",Associate,Full-time,"Business Development, Strategy/Planning, and Finance",Software Development,Business,Software,Bengaluru
4246637481,Front Line Engineer: Mechanical,Aditya Birla Group,1 day ago,"Maharashtra, India",Entry level,Full-time,Engineering and Information Technology,Executive Offices,Engineering,Executive,Maharashtra
